archivo,clase,dur_s,n_seg,score_full,suena_full,best_seg_score,seg_ini_s,seg_fin_s,suena_seg,mejora,estado,recorte
MT_07_TRI.ogg,Tristeza,37.2,7,0.675,Tristeza,0.749,27.2,37.2,Tristeza,0.075,OK,outputs/mejores_segmentos/Tristeza/MT_07_TRI_top27-37s.wav
MT_01_TRI.ogg,Tristeza,41.9,8,0.676,Tristeza,0.732,5.0,15.0,Tristeza,0.056,OK,outputs/mejores_segmentos/Tristeza/MT_01_TRI_top5-15s.wav
MT_03_TRI.ogg,Tristeza,53.1,10,0.867,Tristeza,0.919,30.0,40.0,Tristeza,0.052,OK,outputs/mejores_segmentos/Tristeza/MT_03_TRI_top30-40s.wav
VZ_02_TRA.ogg,Tristeza,77.0,15,0.939,Tristeza,0.982,15.0,25.0,Tristeza,0.043,OK,outputs/mejores_segmentos/Tristeza/VZ_02_TRA_top15-25s.wav
MT_10_TRI.ogg,Tristeza,43.4,8,0.635,Tranquilidad,0.645,15.0,25.0,Tristeza,0.01,RESCATADO,outputs/mejores_segmentos/Tristeza/MT_10_TRI_top15-25s.wav
ED_01_TRI.ogg,Tristeza,38.5,7,0.666,Tristeza,0.666,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/ED_01_TRI_top0-10s.wav
ED_03_TRI_S.ogg,Tristeza,59.3,11,0.601,Tristeza,0.601,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/ED_03_TRI_S_top0-10s.wav
MT_01_TRA.ogg,Tristeza,37.8,7,0.665,Tristeza,0.665,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/MT_01_TRA_top0-10s.wav
MT_04_TRI.mp4,Tristeza,34.1,6,0.65,Tristeza,0.65,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/MT_04_TRI_top0-10s.wav
SG_02_TRA.ogg,Tristeza,26.9,5,0.684,Tristeza,0.684,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_02_TRA_top0-10s.wav
SG_02_TRI.ogg,Tristeza,36.4,7,0.729,Tristeza,0.729,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_02_TRI_top0-10s.wav
SG_03_TRI.ogg,Tristeza,35.7,7,0.777,Tristeza,0.777,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_03_TRI_top0-10s.wav
SG_04_TRI.ogg,Tristeza,30.1,6,0.674,Tristeza,0.674,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_04_TRI_top0-10s.wav
SG_06_TRI.ogg,Tristeza,47.6,9,0.688,Tristeza,0.688,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_06_TRI_top0-10s.wav
SG_09_TRA.mp4,Tristeza,49.9,9,0.777,Tristeza,0.777,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/SG_09_TRA_top0-10s.wav
VA_12_TRI.ogg,Tristeza,19.5,3,0.658,Tristeza,0.658,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/VA_12_TRI_top0-10s.wav
VA_15ENO.mp4,Tristeza,40.9,8,0.582,Tristeza,0.582,0.0,10.0,Tristeza,0.0,OK,outputs/mejores_segmentos/Tristeza/VA_15ENO_top0-10s.wav
VZ_07_TRI.ogg,Tristeza,30.7,6,0.626,Tranquilidad,0.626,0.0,10.0,Tranquilidad,0.0,SIN_RESCATE,outputs/mejores_segmentos/Tristeza/VZ_07_TRI_top0-10s.wav
